"","match_id","team.name","player.id","player.name","position.name","type.name"
"1509",3795220,"Spain",6840,"Marcos Llorente Moreno","Right Back","Substitution"
"1510",3795220,"Spain",5208,"Thiago Alcântara do Nascimento","Center Defensive Midfield","Substitution"
"1511",3795220,"Spain",6892,"Pau Francisco Torres","Right Center Back","Substitution"
"1512",3795220,"Italy",7036,"Gianluigi Donnarumma","Goalkeeper","Starting XI"
"1513",3795220,"Italy",11514,"Giovanni Di Lorenzo","Right Back","Starting XI"
"1514",3795220,"Italy",7173,"Leonardo Bonucci","Right Center Back","Starting XI"
"1515",3795220,"Italy",6954,"Giorgio Chiellini","Left Center Back","Starting XI"
"1516",3795220,"Italy",4355,"Emerson Palmieri dos Santos","Left Back","Starting XI"
"1517",3795220,"Italy",7024,"Jorge Luiz Frello Filho","Center Defensive Midfield","Starting XI"
"1518",3795220,"Italy",8181,"Nicolò Barella","Right Center Midfield","Starting XI"
"1519",3795220,"Italy",3166,"Marco Verratti","Left Center Midfield","Starting XI"
"1520",3795220,"Italy",7156,"Federico Chiesa","Right Wing","Starting XI"
"1521",3795220,"Italy",7037,"Lorenzo Insigne","Left Wing","Starting XI"
"1522",3795220,"Italy",7788,"Ciro Immobile","Center Forward","Starting XI"
"1523",3795220,"Italy",7131,"Domenico Berardi","Center Forward","Substitution"
"1524",3795220,"Italy",11601,"Matteo Pessina","Left Center Midfield","Substitution"
"1525",3795220,"Italy",7002,"Rafael Tolói","Left Back","Substitution"
